index,Best Performance
0,0.13313511943259296
1,0.1952979537700919
2,0.286995521326291
3,0.13525135123608728
4,0.16255064121075558
5,0.134349906193342
6,0.14609831883784077
7,0.1544991580047126
8,0.13298258298905696
9,0.1372914493294326
10,0.15199901142199862
11,0.1259566398217326
12,0.17461149325930556
13,0.1689141730321234
14,0.12576327832753217
15,0.1510728300440363
16,0.22719844476916673
17,0.13305488927572512
18,0.14802297551370316
19,0.13829643416402265
20,0.2834085920100263
21,0.15007569504623477
22,0.31255275621144707
23,0.16573127302838583
24,0.14020706951807152
25,0.13491396652659787
26,0.14042144799010278
27,0.17529886693662583
28,0.11088757796304947
29,0.19040647146599984
30,0.07878453485716429
31,0.17182283647092833
32,0.12186724703811312
33,0.09153925996910148
34,0.12142222198684266
35,0.190701241026934
36,0.11352030188035768
37,0.3380954364192143
38,0.1345571393002478
39,0.12134098828722042
40,0.23255092170612557
41,0.11329094613282327
42,0.09842217302124907
43,0.130486496187837
44,0.22919271362025562
45,0.20283446987213152
46,0.13964665499057402
47,0.16706672486391191
48,0.17721690851776561
49,0.14051821767955275
50,0.0794367931506899
51,0.14721208467943564
52,0.17125551603561512
53,0.16341634132075064
54,0.13184133706682408
55,0.13243050639553622
56,0.09565347143641179
57,0.10930254421104685
58,0.359726264559489
59,0.09329733216048765
60,0.11198188911993807
61,0.13179870576700894
62,0.19222300174512288
63,0.12404245620279494
64,0.12512263705475363
65,0.1613488404987076
66,0.16045890326209825
67,0.13267279045635522
68,0.13645004256946666
69,0.34543493519708607
70,0.15385633635330528
71,0.11689169570687147
72,0.27897044647232333
73,0.1818313754381107
74,0.10854691271584249
75,0.25661910219754097
76,0.16801010786297896
77,0.13422150892007173
78,0.16909547170200198
79,0.12667514830829163
80,0.12264890944564642
81,0.12837139294508515
82,0.14023400145812445
83,0.11878725247087445
84,0.15093829282007745
85,0.1535145848492403
86,0.13078412186347932
87,0.1317391931496122
88,0.171868430771129
89,0.20006492299340958
90,0.19582647206933548
91,0.1460149642820525
92,0.11867113228961267
93,0.11530704121330924
94,0.1933122991230465
95,0.4627361297782646
96,0.1567430930287604
97,0.12953294740047236
98,0.12732109886120888
99,0.16063972323440262
100,0.1735056003705274
101,0.11454211545851103
102,0.16722342231019582
103,0.12684926620514567
104,0.13973472920529062
105,0.15523923284503943
106,0.13285976545205988
107,0.14281874844212605
108,0.12911711677519982
109,0.2125552057846125
110,0.13490801001695107
111,0.13682962617360667
112,0.11588104758734696
113,0.12464241895740366
114,0.12588451799600228
115,0.170251728293933
116,0.12463647543190304
117,0.13999644972223563
118,0.16307287595480577
119,0.1261796759693784
120,0.12866016512733933
121,0.16579992393258405
122,0.1312130800649222
123,0.16347978502850657
124,0.11748893718936547
125,0.1649359325953886
126,0.20968877824063584
127,0.1498281236889516
128,0.13331006825612504
129,0.20358255755513835
130,0.10066906955130406
131,0.17362276521281972
132,0.11195182246191888
133,0.16366368580192328
134,0.18082024242418104
135,0.199781318081045
136,0.12238657714622125
137,0.15677684988073462
138,0.12961251411154306
139,0.11309653028865066
140,0.23191124532705762
141,0.12187112346998896
142,0.12516756845231097
143,0.1644971171961878
144,0.07918586067434426
145,0.16237357335117003
146,0.17184173289775914
147,0.12372296926370208
148,0.15210232050071082
149,0.12369163899997243
150,0.26293586751280573
151,0.13746318779980918
152,0.19942835082284557
153,0.09012819083509375
154,0.11922183883336014
155,0.24915324563456556
156,0.2580471739319016
157,0.12319862986354213
158,0.1498045552707798
159,0.20113660799686875
160,0.1268335321458266
161,0.11448114232326938
162,0.1268071615915734
163,0.13288582440925667
164,0.1961029716864961
165,0.13771091176544384
166,0.18046842284570078
167,0.12920054405054
168,0.15902563639177267
169,0.17126306372465178
170,0.20924583037387912
171,0.13133103234756838
172,0.16617426513964625
173,0.08365669397453937
174,0.18112169730977376
175,0.11926321063256917
176,0.17999805975108996
177,0.16702201290217766
178,0.12669448238702383
179,0.12523593787647916
180,0.1292663445341364
181,0.08531800857102406
182,0.142876534377051
183,0.1298180663978304
184,0.1135352078700593
185,0.11156052410538712
186,0.1302298820204666
187,0.14094671064450517
188,0.08796926192850915
189,0.11926981034472729
190,0.07750171717840389
191,0.15032933316825273
192,0.12612882670626516
193,0.1548640420875408
194,0.16938675025101874
195,0.08593971758414154
196,0.13441735167484611
197,0.23350328792623673
198,0.12074645991949742
199,0.12411401679844428
200,0.13958199661535878
201,0.13555470196801914
202,0.07862271223547615
203,0.13120838333960969
204,0.11991389050652697
205,0.12418843582483038
206,0.18324066844940437
207,0.1180420600013595
208,0.15262797550171706
209,0.14889292904374618
210,0.12075846088943602
211,0.1258755668677466
212,0.12654466688143068
213,0.1143008963507037
214,0.21168660530412717
215,0.2213141378518298
216,0.12334681792910097
217,0.3540676821903998
218,0.11735839227013765
219,0.186112934553559
220,0.13341318922055942
221,0.1554307947170919
222,0.17174361050488612
223,0.14993672503529626
224,0.12623164314385873
225,0.13399255052338382
226,0.3458518287396554
227,0.20647584064981842
228,0.12422245415865275
229,0.13574933133389472
230,0.13405504313866193
231,0.08817343476839673
232,0.14437077541878193
233,0.13121097222757974
234,0.1881601037557809
235,0.1979384488666159
236,0.13083730787211323
237,0.18068024338014865
238,0.15177420635671773
239,0.18634742492407014
240,0.10799916993731933
241,0.2828236113619788
242,0.13190704820138546
243,0.16250415702179227
244,0.11729990297944988
245,0.08357259563134185
246,0.13530019887644495
247,0.1636002494285728
248,0.08211692694385038
249,0.32994270294817146
250,0.12383533290930085
251,0.16287360590064096
252,0.11687751406291927
253,0.14880773672004563
254,0.17419088923760404
255,0.14051605896485758
256,0.12441640379059843
257,0.0797196382593667
258,0.1613840990369094
259,0.17264275426692252
